timestamp,facility_id,facility_name,current,maximum,remaining,pct_full,page_last_update
2026-05-25T06:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,218,2500,2282,8.7,6:00 AM
2026-05-25T06:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,24,300,276,8.0,6:00 AM
2026-05-25T06:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,2,25,23,8.0,6:00 AM
2026-05-25T06:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,360,2500,2140,14.4,6:30 AM
2026-05-25T06:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,50,300,250,16.7,6:30 AM
2026-05-25T06:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,3,25,22,12.0,6:30 AM
2026-05-25T07:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,543,2500,1957,21.7,7:00 AM
2026-05-25T07:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,75,300,225,25.0,7:00 AM
2026-05-25T07:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,5,25,20,20.0,7:00 AM
2026-05-25T07:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,789,2500,1711,31.6,7:30 AM
2026-05-25T07:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,84,300,216,28.0,7:30 AM
2026-05-25T07:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,7,25,18,28.0,7:30 AM
2026-05-25T08:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,855,2500,1645,34.2,8:00 AM
2026-05-25T08:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,115,300,185,38.3,8:00 AM
2026-05-25T08:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,7,25,18,28.0,8:00 AM
2026-05-25T08:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,738,2500,1762,29.5,8:30 AM
2026-05-25T08:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,100,300,200,33.3,8:30 AM
2026-05-25T08:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,9,25,16,36.0,8:30 AM
2026-05-25T09:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,641,2500,1859,25.6,9:00 AM
2026-05-25T09:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,72,300,228,24.0,9:00 AM
2026-05-25T09:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,7,25,18,28.0,9:00 AM
2026-05-25T09:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,445,2500,2055,17.8,9:30 AM
2026-05-25T09:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,68,300,232,22.7,9:30 AM
2026-05-25T09:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,4,25,21,16.0,9:30 AM
2026-05-25T10:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,609,2500,1891,24.4,10:00 AM
2026-05-25T10:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,72,300,228,24.0,10:00 AM
2026-05-25T10:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,6,25,19,24.0,10:00 AM
2026-05-25T10:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,929,2500,1571,37.2,10:30 AM
2026-05-25T10:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,92,300,208,30.7,10:30 AM
2026-05-25T10:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,8,25,17,32.0,10:30 AM
2026-05-25T11:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,1034,2500,1466,41.4,11:00 AM
2026-05-25T11:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,114,300,186,38.0,11:00 AM
2026-05-25T11:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,10,25,15,40.0,11:00 AM
2026-05-25T11:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,947,2500,1553,37.9,11:30 AM
2026-05-25T11:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,113,300,187,37.7,11:30 AM
2026-05-25T11:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,9,25,16,36.0,11:30 AM
2026-05-25T12:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,1185,2500,1315,47.4,12:00 PM
2026-05-25T12:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,132,300,168,44.0,12:00 PM
2026-05-25T12:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,10,25,15,40.0,12:00 PM
2026-05-25T12:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,1118,2500,1382,44.7,12:30 PM
2026-05-25T12:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,129,300,171,43.0,12:30 PM
2026-05-25T12:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,10,25,15,40.0,12:30 PM
2026-05-25T13:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,1080,2500,1420,43.2,1:00 PM
2026-05-25T13:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,126,300,174,42.0,1:00 PM
2026-05-25T13:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,9,25,16,36.0,1:00 PM
2026-05-25T13:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,868,2500,1632,34.7,1:30 PM
2026-05-25T13:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,102,300,198,34.0,1:30 PM
2026-05-25T13:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,9,25,16,36.0,1:30 PM
2026-05-25T14:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,729,2500,1771,29.2,2:00 PM
2026-05-25T14:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,76,300,224,25.3,2:00 PM
2026-05-25T14:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,7,25,18,28.0,2:00 PM
2026-05-25T14:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,456,2500,2044,18.2,2:30 PM
2026-05-25T14:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,60,300,240,20.0,2:30 PM
2026-05-25T14:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,5,25,20,20.0,2:30 PM
2026-05-25T15:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,327,2500,2173,13.1,3:00 PM
2026-05-25T15:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,43,300,257,14.3,3:00 PM
2026-05-25T15:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,3,25,22,12.0,3:00 PM
2026-05-25T15:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,550,2500,1950,22.0,3:30 PM
